t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,brightness_norm
349.0,3.0,57,3947,28.8,36.522,30,ON,1887.36,148.228,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
352.0,4.0,57,3947,28.8,35.817,30,ON,1872.584,117.977,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
356.0,3.0,57,3947,28.8,37.298,30,ON,1762.88,149.47233333333332,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
359.0,4.0,57,3947,28.8,36.157,30,ON,1824.912,115.0275,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
363.0,4.0,57,3947,28.8,38.496,30,ON,2545.378,116.95125,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
367.0,3.0,57,3947,28.8,38.265,30,ON,2040.708,156.21033333333332,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
370.0,4.0,57,3947,28.8,36.384,30,ON,1801.314,106.00525,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
374.0,3.0,57,3947,28.8,37.945,30,ON,1801.314,153.341,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
377.0,4.0,57,3947,28.8,39.636,30,ON,1769.85,116.899,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
381.0,3.0,57,3947,28.8,35.037,30,ON,1820.516,156.537,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
384.0,4.0,57,3947,28.8,36.808,30,ON,1773.783,117.62125,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
